experiment,size,workers,time_ms
gemm,512,1,43.288
gemm,512,2,29.814
gemm,512,4,68.473
gemm,512,8,81.645
conv-naive,512,1,46.365
conv-naive,512,2,30.445
conv-naive,512,4,69.633
conv-naive,512,8,156.79
conv-img2col,512,1,16.109
conv-img2col,512,2,9.564
conv-img2col,512,4,131.353
conv-img2col,512,8,151.13
pooling,512,1,325
pooling,512,2,595
pooling,512,4,410
pooling,512,8,788
gemm,1024,1,96.012
gemm,1024,2,81.248
gemm,1024,4,149.68
gemm,1024,8,142.171
conv-naive,1024,1,14.349
conv-naive,1024,2,39.257
conv-naive,1024,4,74.225
conv-naive,1024,8,152.861
conv-img2col,1024,1,31.891
conv-img2col,1024,2,23.709
conv-img2col,1024,4,20.842
conv-img2col,1024,8,141.577
pooling,1024,1,904
pooling,1024,2,1938
pooling,1024,4,1029
pooling,1024,8,1570
gemm,2048,1,436.604
gemm,2048,2,489.389
gemm,2048,4,512.703
gemm,2048,8,550.144
conv-naive,2048,1,14.194
conv-naive,2048,2,37.375
conv-naive,2048,4,70.84
conv-naive,2048,8,160.15
conv-img2col,2048,1,104.382
conv-img2col,2048,2,177.3
conv-img2col,2048,4,71.904
conv-img2col,2048,8,188.064
pooling,2048,1,3040
pooling,2048,2,5316
pooling,2048,4,6322
pooling,2048,8,7988
