method,size,workers,time_ms
serial,512,1,87.778
openmp,512,1,80.894
openmp,512,2,40.763
openmp,512,4,22.34
openmp,512,8,15.967
openmp,512,16,12.844
mpi-original,512,1,36.695
mpi-original,512,9,250.022
mpi-original,512,16,417.943
mpi-shm,512,1,87.282
mpi-shm,512,4,23.234
mpi-shm,512,9,14.906
mpi-shm,512,16,14.408
serial,1024,1,776.447
openmp,1024,1,736.412
openmp,1024,2,365.678
openmp,1024,4,187.826
openmp,1024,8,106.234
openmp,1024,16,77.728
mpi-original,1024,1,104.515
mpi-original,1024,4,165.99
mpi-original,1024,9,406.458
mpi-original,1024,16,571.812
mpi-shm,1024,1,736.607
mpi-shm,1024,4,200.206
mpi-shm,1024,9,128.371
mpi-shm,1024,16,88.728
serial,2048,1,5951.13
openmp,2048,1,5819.95
openmp,2048,2,2927.48
openmp,2048,4,1504.29
openmp,2048,8,815.963
openmp,2048,16,491.265
mpi-original,2048,1,485.442
mpi-original,2048,4,610.363
mpi-original,2048,9,767.547
mpi-shm,2048,1,5860.67
mpi-shm,2048,4,1613.57
mpi-shm,2048,9,729.656
mpi-shm,2048,16,590.411
serial,4096,1,47292.1
openmp,4096,1,46086.5
openmp,4096,2,22319.7
openmp,4096,4,12389.3
openmp,4096,8,6661.26
openmp,4096,16,3814.51
mpi-original,4096,1,3840.7
mpi-original,4096,4,2365.86
mpi-original,4096,9,4447.56
mpi-original,4096,16,4829.94
mpi-shm,4096,1,46336.8
mpi-shm,4096,4,10967.6
mpi-shm,4096,9,6241.31
mpi-shm,4096,16,4508.54
